genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Debaryomyces	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	0.1746
g__Pleurotus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Pleurotaceae	0.1721
g__Xeromyces	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	0.1711
g__Meyerozyma	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	0.1679
g__Epicoccum	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.1607
g__Curvularia	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	0.1437
g__Filobasidium	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	0.1423
g__Perenniporia	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporaceae	0.1419
g__Cryptococcus	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cryptococcaceae	0.1414
g__Didymella	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.1304
g__Stemphylium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	0.1225
g__Cystobasidium	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiales	f__Cystobasidiaceae	0.1064
g__Zygosaccharomyces	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	0.1024
g__Sporobolomyces	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	0.1007
g__Cutaneotrichosporon	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	0.0934
g__Peniophora	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	0.0911
g__Kazachstania	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	0.0895
g__Knufia	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	0.088
g__Allium	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Asparagales	f__Amaryllidaceae	0.0794
g__Musa	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Zingiberales	f__Musaceae	0.0708
g__Pichia	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	0.0686
g__Sertulicium	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Trechisporales_fam_Incertae_sedis	0.0647
g__Irpex	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Irpicaceae	0.063
g__Streblotrichum	k__Viridiplantae	p__Bryophyta	c__Bryopsida	o__Pottiales	f__Pottiaceae	0.0623
g__Melampsora	k__Fungi	p__Basidiomycota	c__Pucciniomycetes	o__Pucciniales	f__Melampsoraceae	0.062
g__Wallemia	k__Fungi	p__Basidiomycota	c__Wallemiomycetes	o__Wallemiales	f__Wallemiaceae	0.0544
g__Solanum	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Solanales	f__Solanaceae	0.0476
g__Porostereum	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	0.0449
g__Xylodon	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	0.0442
g__Periconia	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	0.0415
g__Trichomonascus	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Trichomonascaceae	0.0399
g__Aureobasidium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Saccotheciaceae	0.0386
g__Tausonia	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	0.0372
g__Trichosporon	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	0.0361
g__Tamamschjanella	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Apiales	f__Apiaceae	0.0335
g__Brassica	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Brassicales	f__Brassicaceae	0.0326
g__Oligophagozyma	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	0.0318
g__Trametes	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporaceae	0.0303
g__Daucus	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Apiales	f__Apiaceae	0.0285
g__Pseudopithomyces	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	0.0284
g__Exophiala	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	0.0283
