genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Streblotrichum	k__Viridiplantae	p__Bryophyta	c__Bryopsida	o__Pottiales	f__Pottiaceae	0.0247
g__Porostereum	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	0.0242
g__Trametes	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporaceae	0.0239
g__Nigrospora	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Amphisphaeriales	f__Apiosporaceae	0.0237
g__Pseudopithomyces	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	0.0234
g__Coprinellus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	0.023
g__Lentinula	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Omphalotaceae	0.0225
g__Ganoderma	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Ganodermataceae	0.0198
g__Peniophorella	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Rickenellaceae	0.0198
g__Phaeosphaeria	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	0.0189
g__Polyporales_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporales_fam_Incertae_sedis	0.0187
g__Udeniomyces	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	0.0184
g__Allium	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Asparagales	f__Amaryllidaceae	0.0174
g__Cutaneotrichosporon	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	0.0174
g__Glycine	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	0.0174
g__Linnemannia	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	0.0173
g__Phlebiopsis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	0.0173
g__Moesziomyces	k__Fungi	p__Basidiomycota	c__Ustilaginomycetes	o__Ustilaginales	f__Ustilaginaceae	0.0162
g__Stereaceae_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Stereaceae	0.016
g__Basidiodendron	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariales_fam_Incertae_sedis	0.0143
g__Debaryomyces	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	0.0132
g__Athelia	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	0.013
g__Holtermannia	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Holtermanniales	f__Holtermanniaceae	0.0128
g__Ustilaginoidea	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	0.0126
g__Triticum	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	0.0125
g__Trichosporon	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	0.0123
g__Hyphodontia	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	0.012
g__Erythrobasidium	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Erythrobasidiales	f__Erythrobasidiaceae	0.0118
g__Mycoaciella	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	0.0108
g__Stemphylium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	0.0107
g__Chlorococcum	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Chlorococcaceae	0.0106
g__Ectophoma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	0.0106
g__Musa	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Zingiberales	f__Musaceae	0.01
g__Tilletia	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Tilletiales	f__Tilletiaceae	0.0099
g__Taphrina	k__Fungi	p__Ascomycota	c__Taphrinomycetes	o__Taphrinales	f__Taphrinaceae	0.0096
g__Sistotrema	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Hydnaceae	0.0094
g__Papiliotrema	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Rhynchogastremaceae	0.0091
g__Exophiala	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	0.0088
g__Hyphoderma	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Hyphodermataceae	0.0088
g__Prunus	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Rosales	f__Rosaceae	0.0088
g__Tricellula	k__Fungi	p__Ascomycota	c__Pezizomycotina_cls_Incertae_sedis	o__Pezizomycotina_ord_Incertae_sedis	f__Pezizomycotina_fam_Incertae_sedis	0.0087
g__Nigroporus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Steccherinaceae	0.0086
g__Vishniacozyma	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	0.0083
g__Sistotremastrum	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	0.0082
g__Wickerhamomyces	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	0.0081
g__Kazachstania	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	0.0077
g__Hormonema	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Dothideales_fam_Incertae_sedis	0.0076
g__Resupinatus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Pleurotaceae	0.0076
g__Neocucurbitaria	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	0.0074
g__Phanerochaete	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	0.0074
g__Resinicium	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Rickenellaceae	0.007
g__Antrodiella	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Steccherinaceae	0.0069
g__Butyrea	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Steccherinaceae	0.0061
