ASV	SRR11604871	SRR11604872	SRR11604873	SRR11604876	SRR11604877	SRR11604879	SRR11604884	SRR11604886	SRR11604887	SRR11604890	SRR11604892	SRR11604904	SRR11604905	SRR11604908	SRR11604870	SRR11604874	SRR11604878	SRR11604882	SRR11604888	SRR11604889	SRR11604891	SRR11604894	SRR11604895	SRR11604896	SRR11604900	SRR11604902	SRR11604906	SRR11604907	SRR11604910	SRR11604911	SRR11604875	SRR11604880	SRR11604881	SRR11604883	SRR11604885	SRR11604893	SRR11604897	SRR11604898	SRR11604899	SRR11604901	SRR11604903	SRR11604909
ASV0087	0	0	0	12	26	7	0	0	93	60	0	0	0	0	661	0	35	0	0	1457	0	0	0	0	153	7	0	0	111	0	0	473	0	38	0	0	0	0	0	0	0	0
ASV0088	27	209	208	0	0	52	31	0	0	0	0	0	52	85	182	94	47	0	102	0	0	28	38	0	0	0	559	0	0	685	0	0	0	102	0	0	0	27	0	529	25	0
ASV0089	27	0	0	31	0	0	0	0	0	92	635	0	0	0	21	0	0	0	0	0	192	53	0	0	42	0	0	0	0	0	1578	0	0	0	0	303	60	0	41	0	0	0
ASV0090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0091	0	0	0	53	0	0	0	0	0	196	568	0	0	0	0	0	0	0	24	155	116	58	0	429	0	0	420	0	0	0	952	5	0	0	0	0	12	0	37	0	0	0
ASV0092	0	0	0	0	0	521	0	0	0	0	447	0	0	0	0	243	0	49	1154	0	390	0	0	0	0	0	57	114	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ASV0093	0	0	843	43	0	0	0	0	0	73	841	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	968	0	0	0	0	180	0	0	0	0	0	0
ASV0094	0	0	0	17	0	0	0	0	0	0	860	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	1905	0	0	0	0	0	0	0	82	0	0	0
ASV0095	0	0	0	14	15	0	48	0	32	59	486	0	0	0	0	0	0	0	0	721	0	96	0	0	13	0	0	0	0	0	1310	0	0	0	0	0	0	0	27	0	0	0
ASV0096	0	0	0	23	0	0	0	0	0	5	362	3	0	0	0	0	0	0	0	429	0	113	59	0	54	0	0	5	0	0	1631	0	0	0	0	0	0	65	58	0	0	0
ASV0097	0	0	1548	76	0	0	0	0	0	0	443	0	0	0	26	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0
ASV0098	0	0	0	13	0	0	0	0	0	3	310	2	0	0	0	0	0	0	0	510	0	67	52	0	26	0	0	0	0	0	1442	0	0	0	0	0	0	59	130	0	0	0
ASV0099	0	0	0	27	0	0	0	0	0	182	491	0	0	0	0	0	0	0	19	97	69	66	0	451	0	0	215	0	0	0	847	0	0	0	0	10	8	0	59	0	0	0
ASV0100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2478	0	0	0	0	0	0	0	0	0	0	0
ASV0102	0	0	0	42	0	0	0	0	0	601	313	0	0	0	0	0	0	0	0	0	249	65	0	0	0	0	0	0	0	0	1056	0	0	0	6	0	0	0	70	0	0	0
ASV0103	0	0	0	45	0	0	0	0	0	486	292	0	0	0	0	0	0	0	0	0	358	70	0	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	28	0	0	0
ASV0104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	0
ASV0105	0	0	0	9	5	0	33	0	14	158	441	0	0	0	0	0	0	0	0	414	0	37	0	0	21	0	0	0	0	0	1096	0	0	0	0	0	0	0	60	0	0	0
ASV0106	0	0	704	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	826	84	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0
ASV0107	0	0	0	0	1	0	0	0	0	0	128	0	40	0	0	0	0	10	53	0	0	66	0	96	0	169	1530	0	27	15	0	0	41	0	36	0	0	0	0	0	0	0
ASV0108	0	0	0	0	0	47	0	300	0	214	0	0	71	0	0	0	0	0	0	1293	0	0	165	0	0	0	0	0	0	0	0	0	49	0	41	0	0	0	0	0	0	0
ASV0109	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	2078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
ASV0110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2162	0	0	0	0
ASV0111	0	0	913	20	0	0	6	0	0	247	416	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	277	0	0	0	0	219	0	0	26	0	0	0
ASV0112	0	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746	0	0	0	0	0	510	0	0	155	49	0	0	0	0	0	0	0	0
ASV0113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0114	0	0	0	68	0	0	0	0	0	350	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734	0	0	0	0	0	0	0	0	0	0	0
ASV0115	0	0	1886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0116	0	0	0	14	0	0	0	0	0	3	222	5	0	0	0	0	0	0	0	250	0	71	40	0	37	0	0	5	0	0	1160	0	0	0	0	0	0	29	35	0	0	0
ASV0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1764	0	0	0	0	0	0	0	0	0	0	0
ASV0119	207	0	0	0	0	138	0	0	95	45	82	0	44	0	0	0	0	171	38	0	0	19	0	58	20	0	265	88	83	0	0	22	128	68	43	0	108	0	17	0	0	13
ASV0120	0	0	267	3	0	19	0	0	13	0	0	0	0	0	141	0	0	35	0	0	0	0	0	1163	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	2
ASV0121	16	0	284	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	1571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0124	0	0	0	6	0	0	0	0	0	2	206	3	0	0	0	0	0	0	0	261	0	56	25	0	23	0	0	0	0	0	993	0	0	0	0	0	0	19	69	0	0	0
ASV0125	0	0	374	0	0	103	0	0	0	119	38	0	0	130	0	0	0	0	0	45	0	0	90	0	11	0	0	0	0	25	0	121	0	187	60	0	0	0	0	205	0	136
ASV0126	0	0	0	0	0	0	0	0	0	0	89	0	25	0	0	0	0	12	42	0	0	47	0	59	0	103	1191	0	19	15	0	0	19	0	13	0	0	0	0	0	0	0
ASV0127	0	0	1631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0128	0	0	594	19	0	0	0	0	0	209	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	109	0	0	39	0	0	0
ASV0129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0130	0	0	242	0	41	0	0	0	6	0	0	0	1	48	0	0	0	0	0	930	0	4	50	0	0	0	0	0	34	128	0	49	0	0	0	0	0	0	0	0	0	0
ASV0131	0	0	0	13	0	0	0	0	0	223	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835	0	0	0	0	0	0	0	103	0	0	0
ASV0132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0
ASV0133	0	0	0	6	1	0	13	0	3	74	351	0	0	0	0	0	0	0	0	179	0	28	0	0	10	0	0	0	0	0	790	0	0	0	0	0	0	0	46	0	0	0
ASV0134	0	0	0	0	0	0	0	0	0	0	1477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0135	0	0	0	0	0	0	0	0	0	1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0
